word,female_target,male_target,male_score
</s>,0.6783812430829855,0.6717348874451349,-0.006646355637850654
a,0.9999631221592793,0.9998695692089405,-9.355295033874889e-5
able,0.9999752324571661,0.9998807255953437,-9.450686182244095e-5
about,0.9998926395268032,0.9999071235036374,1.4483976834234191e-5
above,0.9999531666000663,0.9999128738513727,-4.029274869354893e-5
across,0.9999747610953323,0.9998856039243351,-8.915717099722276e-5
actually,0.9999549236879501,0.9999095721901692,-4.5351497780954375e-5
adam,0.9999286167829983,0.9999123440642422,-1.627271875603853e-5
added,0.999969706039404,0.9998959233627186,-7.378267668545213e-5
afraid,0.9999294026524701,0.9999137869149187,-1.5615737551377684e-5
after,0.999972015900534,0.9998440668873751,-1.2794901315882345e-4
afternoon,0.9999754331560959,0.999888388857866,-8.704429822992132e-5
again,0.9999749260372908,0.9998709516605105,-1.0397437678022481e-4
against,0.999968147944443,0.9998316094739106,-1.365384705324102e-4
age,0.9999429658554896,0.999769596127057,-1.7336972843262632e-4
agency,0.9999600551878516,0.9998097130121638,-1.5034217568776764e-4
ago,0.999934734464589,0.999912666407681,-2.2068056908075562e-5
agreed,0.9999651377509906,0.9998201744742469,-1.44963276743737e-4
ai,0.9999418335994814,0.9999106893070993,-3.114429238215699e-5
air,0.9999521002060541,0.9999102812383621,-4.181896769195337e-5
alive,0.9999739238859464,0.9998902847383996,-8.363914754683233e-5
all,0.9999500504763963,0.9999049159330522,-4.513454334409417e-5
allowed,0.9999635303414919,0.9999069728269019,-5.655751458999436e-5
almost,0.999960446298286,0.99990959568452,-5.085061376597366e-5
alone,0.999976026323441,0.9998779036166205,-9.81227068204138e-5
along,0.9999650632370859,0.99990439517679,-6.066806029592087e-5
already,0.9999744178451185,0.9998906586287468,-8.37592163717149e-5
also,0.9999584787375977,0.9999094780259378,-4.900071165991893e-5
although,0.9999381900048676,0.9999154199429275,-2.2770061940069475e-5
always,0.9999730524853759,0.9998863519217218,-8.670056365411849e-5
am,0.9999019923916233,0.9999055233974321,3.5310058088544594e-6
america,0.9999728763805923,0.9998955534910532,-7.732288953909983e-5
american,0.9999764627480587,0.9998805404816915,-9.592226636723211e-5
among,0.9999463804132727,0.9999139461201746,-3.243429309807144e-5
an,0.999944903962892,0.9997794429898509,-1.6546097304115381e-4
and,0.9999732740956894,0.9998784908524696,-9.478324321976483e-5
andrew,0.9999711947206205,0.9998405456608301,-1.3064905979032204e-4
animals,0.9999703304524058,0.9998995384285241,-7.079202388171613e-5
another,0.9999764966630211,0.999865543245173,-1.109534178481697e-4
answer,0.9999484072471332,0.99977983547491,-1.6857177222318054e-4
answered,0.9999565280002523,0.9997977980090771,-1.5872999117516606e-4
any,0.9999710291821973,0.9998799826938778,-9.104648831947948e-5
anyone,0.9999745460678696,0.9998609242694569,-1.136217984126775e-4
anything,0.9999755374447397,0.9998668051198728,-1.0873232486685591e-4
anyway,0.9999701845563226,0.9998895885698383,-8.059598648424426e-5
apartment,0.9999755421678007,0.9998622355575304,-1.1330661027031397e-4
appear,0.9999575282285729,0.9999091534850884,-4.837474348451387e-5
appeared,0.9999722049594253,0.9998962564611944,-7.594849823089334e-5
are,0.9999635086757265,0.9998169366098466,-1.465720658798686e-4
arm,0.9999249956772915,0.9999113000837005,-1.369559359098993e-5
arms,0.9999675595276214,0.9998999853450592,-6.757418256220227e-5
around,0.9999236611320637,0.9999146295410358,-9.031591027830466e-6
arrived,0.9999706491633306,0.9998998046816948,-7.084448163574564e-5
arthur,0.9999645552841081,0.9999055969251838,-5.8958358924332543e-5
as,0.9999483060442235,0.9997866063190004,-1.6169972522306342e-4
ask,0.9999524722472164,0.9997953693023107,-1.5710294490567378e-4
asked,0.9999626863334339,0.9998155066440119,-1.4717968942201676e-4
asking,0.9999712114106858,0.9998440789551569,-1.2713245552886665e-4
asks,0.9999367506346042,0.9997606883063317,-1.7606232827249713e-4
at,0.9999591866750182,0.9998117248004441,-1.474618745740397e-4
ate,0.9999347361019972,0.9997520570700935,-1.826790319037208e-4
aten,0.9999260935120291,0.9997357089806356,-1.9038453139352818e-4
attention,0.9999660473626736,0.9998249414805707,-1.4110588210292097e-4
