word,female_target,male_target,male_score
</s>,0.6957836572290118,0.6904766355996121,-0.005307021629399666
1,0.8406250269536606,0.8444216198318815,0.0037965928782208724
2,0.7211237910510029,0.7250593379478989,0.003935546896896014
3,0.7179953271004302,0.7222317629685677,0.004236435868137489
4,0.8796454814188487,0.8826624353921221,0.003016953973273395
5,-0.008030796235537358,-0.007530353626906625,5.004426086307337e-4
6,0.7332715327671239,0.7377914430722016,0.004519910305077701
7,0.6918549511820121,0.6965015162487888,0.004646565066776631
a,0.9999632324184808,0.9998952983345439,-6.79340839369047e-5
â,0.9005514065677268,0.9036965077624691,0.003145101194742317
about,0.9998720302789907,0.9999430468072439,7.101652825314275e-5
above,0.9999637865063317,0.999968958724417,5.17221808538082e-6
absolutely,0.9999625275850638,0.999970109475215,7.5818901512647585e-6
across,0.999965825052782,0.9999683028437265,2.4777909445328206e-6
afraid,0.999975628775321,0.9999149547032823,-6.067407203869113e-5
after,0.9999804175868041,0.99995153167389,-2.88859129141672e-5
afternoon,0.9999794086379404,0.9999572320594203,-2.2176578520105572e-5
again,0.9999574233217512,0.9998698307382907,-8.759258346047183e-5
against,0.999980620913777,0.9999352117079161,-4.5409205860935664e-5
ago,0.9999778484597761,0.9999269024623063,-5.094599746979789e-5
ah,0.9999697734544912,0.9999602030551282,-9.570399363001414e-6
ahead,0.9999798013202994,0.9999315620606277,-4.8239259671678525e-5
air,0.9999703968093516,0.999899661985522,-7.073482382957685e-5
alan,0.99995954925909,0.9998756361559247,-8.391310316535616e-5
albie,0.9999806094164049,0.9999493816447845,-3.1227771620345735e-5
alice,0.9999790795260873,0.9999262793477415,-5.2800178345857596e-5
all,0.999935380004348,0.9998299825369665,-1.0539746738147393e-4
alligator,0.9999774021465195,0.9999183089955409,-5.909315097862855e-5
almost,0.9999663293677682,0.9999686835642053,2.3541964371265323e-6
alone,0.9999791491448631,0.9999255618092368,-5.3587335626326116e-5
along,0.9999701991863146,0.9998989529920925,-7.124619422205214e-5
already,0.9999717793393583,0.9999016010516275,-7.017828773081547e-5
also,0.9999793962960503,0.9999534844629414,-2.5911833108849258e-5
always,0.999979915311282,0.9999411112032699,-3.880410801215817e-5
am,0.9999721780369114,0.9999505896338369,-2.1588403074535023e-5
amelia,0.9999778027896514,0.9999208213067876,-5.698148286381599e-5
amos,0.9999578264326001,0.9999700358439703,1.2209411370145418e-5
an,0.9999611357246658,0.9998815482888767,-7.95874357891746e-5
