book_id,title,review_url
M30,A BAD CASE OF STRIPES,https://www.amazon.com/Bad-Case-Stripes-Scholastic-Bookshelf/product-reviews/0439598389/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M65,A SICK DAY FOR AMOS MCGEE,https://www.amazon.com/Sick-Day-Amos-McGee/product-reviews/1596434023/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",https://www.amazon.com/Alexander-Terrible-Horrible-Good-Very/product-reviews/0689711735/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L182,ALLIGATOR PIE,https://www.amazon.com/Alligator-Pie-Classic-Dennis-Lee/product-reviews/1443411515/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L201,AMELIA BEDELIA,https://www.amazon.com/Amelia-Bedelia-Peggy-Parish/product-reviews/0062209698/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M90,ANGELINA ICE SKATES,https://www.amazon.com/Angelina-Ice-Skates-Ballerina/product-reviews/0142406589/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L258,ANIMALIA,https://www.amazon.com/Animalia-Graeme-Base/product-reviews/0810919397/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L114,ARE YOU A COW?,https://www.amazon.com/Are-You-Cow-Boynton-Board/product-reviews/1442417331/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M38,ARE YOU MY MOTHER?,https://www.amazon.com/Mother-Bright-Early-Board-Books/product-reviews/0679890475/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M98,ARNIE THE DOUGHNUT,https://www.amazon.com/Arnie-Doughnut-Adventures/product-reviews/1250079470/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
