word,female_word,male_word
sona,FALSE,FALSE
jon,FALSE,FALSE
grandboys,FALSE,TRUE
soo,FALSE,FALSE
nephewsniece,FALSE,TRUE
grandons,FALSE,TRUE
grandsonlove,FALSE,TRUE
grandsoon,FALSE,TRUE
nephewyou,FALSE,TRUE
greatgrandson,FALSE,TRUE
lon,FALSE,FALSE
grandsonits,FALSE,TRUE
nephewnow,FALSE,TRUE
grandsona,FALSE,TRUE
soi,FALSE,FALSE
soni,FALSE,FALSE
grandsonplease,FALSE,TRUE
sont,FALSE,TRUE
mygrandson,FALSE,TRUE
greatnephew,FALSE,TRUE
niecenephew,FALSE,FALSE
bon,FALSE,FALSE
sone,FALSE,TRUE
nephewsmy,FALSE,TRUE
greatgrandnephew,FALSE,TRUE
grandsonsi,FALSE,TRUE
granson,FALSE,TRUE
newphews,FALSE,TRUE
nephewi,FALSE,TRUE
greatgrandsons,FALSE,TRUE
kidgrandson,FALSE,TRUE
oldgrandsons,FALSE,TRUE
newph,FALSE,TRUE
grandsoni,FALSE,TRUE
randson,FALSE,TRUE
grandsonhe,FALSE,TRUE
niecenephews,FALSE,TRUE
nephewarrived,FALSE,TRUE
mons,FALSE,FALSE
grayson,FALSE,FALSE
niecesnephews,FALSE,TRUE
nephewsone,FALSE,TRUE
grandsongood,FALSE,TRUE
grandsonboard,FALSE,TRUE
ron,FALSE,FALSE
stepgrandsons,FALSE,TRUE
nephewniece,FALSE,TRUE
greatniecenephew,FALSE,TRUE
greatnephews,FALSE,TRUE
nephewfolks,FALSE,TRUE
sones,FALSE,TRUE
newphew,FALSE,TRUE
grandosnd,FALSE,TRUE
ons,FALSE,FALSE
grandsonss,FALSE,TRUE
sonss,FALSE,TRUE
grandsonloves,FALSE,TRUE
sof,FALSE,FALSE
nephewinlaw,FALSE,TRUE
sony,FALSE,FALSE
sox,FALSE,FALSE
soas,FALSE,FALSE
nephewwho,FALSE,TRUE
ggrandsons,FALSE,TRUE
uson,FALSE,TRUE
nephewson,FALSE,TRUE
grandsonand,FALSE,TRUE
nefew,FALSE,TRUE
grandsonyet,FALSE,TRUE
son18,FALSE,TRUE
grandsoneven,FALSE,TRUE
gson,FALSE,TRUE
gradson,FALSE,TRUE
geatgrandson,FALSE,TRUE
som,FALSE,TRUE
grandon,FALSE,TRUE
nephewits,FALSE,TRUE
gsons,FALSE,TRUE
nephewthey,FALSE,TRUE
grandsonalmost,FALSE,TRUE
grandsoneach,FALSE,TRUE
grandsonit,FALSE,TRUE
grgrandson,FALSE,TRUE
grandsonswe,FALSE,TRUE
sos,FALSE,FALSE
grandsonthank,FALSE,TRUE
grandosn,FALSE,TRUE
grandsonmore,FALSE,TRUE
grandsonhes,FALSE,TRUE
nephewhes,FALSE,TRUE
grandaughters,TRUE,FALSE
daughterinlaws,TRUE,FALSE
grandaughter,TRUE,FALSE
greatniece,TRUE,FALSE
duaghter,TRUE,FALSE
neice,TRUE,FALSE
neices,TRUE,FALSE
daughtertwo,TRUE,FALSE
mydaughters,TRUE,FALSE
granddaugfhter,TRUE,FALSE
grandaugter,TRUE,FALSE
daoughter,TRUE,FALSE
daughterinlaw,TRUE,FALSE
daugher,TRUE,FALSE
daughterit,TRUE,FALSE
daughterthe,TRUE,FALSE
grandughter,TRUE,FALSE
granddaugher,TRUE,FALSE
grandduaghters,TRUE,FALSE
grandaughteri,TRUE,FALSE
greatgranddaughter,TRUE,FALSE
daughtersthe,TRUE,FALSE
daughers,TRUE,FALSE
daughtertikki,TRUE,FALSE
grandpagranddaughter,TRUE,FALSE
daughterevery,TRUE,FALSE
nieceit,TRUE,FALSE
grandddaughters,TRUE,FALSE
grandaughterone,TRUE,FALSE
daighter,TRUE,FALSE
daugther,TRUE,FALSE
daughterand,TRUE,FALSE
sondaughter,TRUE,FALSE
grandaughtet,TRUE,FALSE
daughtersays,TRUE,FALSE
granddaughtes,TRUE,FALSE
granddaughterher,TRUE,FALSE
graddaughter,TRUE,FALSE
greatdaughtter,TRUE,FALSE
daughtergrand,TRUE,FALSE
grandfauthers,TRUE,FALSE
daddydaughter,TRUE,FALSE
greatgreatgranddaughter,TRUE,FALSE
granddaughtershe,TRUE,FALSE
granddaughterfour,TRUE,FALSE
granddaughtereven,TRUE,FALSE
gdaughter,TRUE,FALSE
sonsdaughters,TRUE,FALSE
mydaughter,TRUE,FALSE
mygranddaughters,TRUE,FALSE
greatgranddaughtersthey,TRUE,FALSE
great0grandkids,TRUE,FALSE
granddajughter,TRUE,FALSE
granddaughterloves,TRUE,FALSE
daughterwill,TRUE,FALSE
grandaugher,TRUE,FALSE
daughtergood,TRUE,FALSE
dautghter,TRUE,FALSE
daughterbeautiful,TRUE,FALSE
granddaughterits,TRUE,FALSE
daughterwe,TRUE,FALSE
