book_id,title,author,character_name,character_type,character_gender,notes,exclude,type_gender_mean,gender_group,char_main_singular,char_main_gender,char_name
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?",BILL MARTIN JR. AND ERIC CARLE,no_named_character,,,,,2.73749141,male-biased,NO,AND,NA
L198,MORTIMER,ROBERT MUNSCH,Mortimer,m,m,,,2.75808996,male-biased,YES,M,MORTIMER
L198,MORTIMER,ROBERT MUNSCH,Mortimer's mother,s,f,,,2.75808996,male-biased,YES,M,MORTIMER
L198,MORTIMER,ROBERT MUNSCH,Mortimer's father,s,m,,,2.75808996,male-biased,YES,M,MORTIMER
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,Mr. Gilly,m,m,,,2.79857901,male-biased,YES,M,MR. GILLY
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,Thomas,m,m,,,2.80821912,male-biased,YES,M,THOMAS
M72,PETE THE CAT: THE WHEELS ON THE BUS,JAMES DEAN,Pete,m,m,"many minor characters, pete is minor",x,2.81244344,male-biased,YES,M,PETE
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Crane Truck,s,m,,,2.83634234,male-biased,NO,M,NA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Cement Mixer,s,m,,,2.83634234,male-biased,NO,M,NA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Dump Truck,s,m,,,2.83634234,male-biased,NO,M,NA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Bulldozer,s,m,,,2.83634234,male-biased,NO,M,NA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Excavator,s,m,,,2.83634234,male-biased,NO,M,NA
M51,DINOSAUR RESCUE,PENNY DALE,no_named_character,s,,,,2.83674687,male-biased,NO,AND,NA
L192,JUST ME AND MY DAD,MERCER MAYER,no_named_character,n,m,,x,2.84062722,male-biased,YES,AND,NA
L192,JUST ME AND MY DAD,MERCER MAYER,dad,m,m,,x,2.84062722,male-biased,YES,AND,NA
L228,HOP ON POP,DR. SEUSS,no_main_character,,,,,2.85467297,male-biased,NO,NA,NA
L191,"BOB BOOKS, SET 1: BEGINNING READERS",BOBBY LYNN MASLEN,no_main_character,,,,,2.8628392,male-biased,NO,AND,NA
L183,CHUGGA-CHUGGA CHOO-CHOO,KEVIN LEWIS,no_main_character,,,,,2.86483998,male-biased,NO,AND,NA
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,Blaze,m,m,,,2.87431308,male-biased,YES,M,BLAZE
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,AJ,s,m,,,2.87431308,male-biased,YES,M,BLAZE
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,no_gendered_character,,,,,2.87670735,male-biased,NO,AND,NA
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,Triangle,m,m,,,2.87673536,male-biased,YES,M,TRIANGLE
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,Square,m,m,,,2.87673536,male-biased,YES,M,TRIANGLE
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,dinosaur,m,m,,,2.87879259,male-biased,YES,M,DINOSAUR
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",BILL MARTIN JR AND ERIC CARLE,no_gendered_character,,,,,2.88169872,male-biased,YES,AND,NA
L221,LITTLE BLUE TRUCK,ALICE SCHERTLE,Little Blue Truck,s,m,many minor characters,x,2.88190335,male-biased,NO,M,NA
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,Peter,m,m,,,2.88622203,male-biased,YES,M,PETER
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,Peddler,m,m,,,2.89147109,male-biased,YES,M,PEDDLER
L138,FROM HEAD TO TOE,ERIC CARLE,no_main_character,,,,,2.89675563,male-biased,NO,AND,NA
M10,THE SNOWY DAY,EZRA JACK KEATS,Peter,m,m,,,2.89904598,male-biased,YES,M,PETER
L144,SLOW LORIS,ALEXIS DEACON,Loris,m,m,,,2.90361881,male-biased,YES,M,LORIS
M60,THIS IS NOT MY HAT,JON KLASSEN,no_main_character,,,,,2.9088573,male-biased,YES,AND,NA
L252,BEAR SNORES ON,KARMA WILSON,bear,m,m,,,2.91586386,male-biased,YES,M,BEAR
L153,"GO, DOG. GO!",P.D. EASTMAN,no_main_character,,,,,2.92309419,male-biased,NO,AND,NA
M52,DUCK ON A BIKE,DAVID SHANNON,Duck,m,m,many minor gendered characters,x,2.92310171,male-biased,YES,M,DUCK
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,grandfather,m,m,,,2.92695974,male-biased,YES,M,GRANDFATHER
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,Pete,m,m,,,2.92967087,male-biased,YES,M,PETE
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,Clifford,m,m,,,2.93660077,male-biased,YES,M,CLIFFORD
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,Emily Elizabeth,m,f,,,2.93660077,male-biased,YES,M,CLIFFORD
M71,HOW TO TRAIN A TRAIN,JASON CARTER EATON,no_named_character,,,,,2.93838544,male-biased,NO,AND,NA
L218,WHERE DO DIGGERS SLEEP AT NIGHT?,BRIANNA CAPLAN SAYRES,no_main_character,,,,,2.93922143,male-biased,NO,M,NA
L136,KATY AND THE BIG SNOW,VIRGINIA LEE BURTON,Katy,m,f,,,2.9402566,male-biased,YES,F,KATY
M35,WHERE THE WILD THINGS ARE,MAURICE SENDAK,Max,m,m,,,2.94068001,male-biased,YES,M,MAX
L132,BIG RED BARN,MARGARET WISE BROWN,no_main_character,,,,,2.98530884,neutral,NO,AND,NA
M20,OWL MOON,JANE YOLEN,no_named_character,m,NA,,x,2.98737373,neutral,YES,AND,NA
M20,OWL MOON,JANE YOLEN,Pa,s,m,,x,2.98737373,neutral,YES,AND,NA
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,Mickey,m,m,,,2.98799547,neutral,YES,M,MICKEY
M12,GUESS HOW MUCH I LOVE YOU,SAM MCBRATNEY,Little Nutbrown Hare,m,m,,,2.99059082,neutral,NO,M,"LITTLE NUTBROWN HARE, BIG NUTBROWN HARE"
M12,GUESS HOW MUCH I LOVE YOU,SAM MCBRATNEY,Big Nutbrown Hare,m,m,,,2.99059082,neutral,NO,M,"LITTLE NUTBROWN HARE, BIG NUTBROWN HARE"
L246,PRESS HERE,HERVE TULLET,no_main_character,,,,,2.9914331,neutral,NO,NA,NA
L234,YERTLE THE TURTLE,DR. SEUSS,Yertle,m,m,,,2.9928559,neutral,YES,M,YERTLE
L129,"HELLO, ROCK",ROGER BRADFIELD,no_named_character,,,,,2.99367165,neutral,YES,AND,NA
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,moose,m,m,,,2.99434287,neutral,YES,M,MOOSE
L169,MAMA DON'T ALLOW,THACHER HURD,Miles,m,m,,,2.99584984,neutral,YES,M,MILES
L169,MAMA DON'T ALLOW,THACHER HURD,mama,s,f,,,2.99584984,neutral,YES,M,MILES
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,the bus driver,m,m,,,2.99622472,neutral,YES,M,BUS DRIVER
M65,A SICK DAY FOR AMOS MCGEE,PHILIP C. STEAD,Amos Mcgee,m,m,,,2.99667816,neutral,YES,M,AMOS MCGEE
M68,MAISY GOES CAMPING,LUCY COUSINS,Maisy,m,f,,,2.99859204,neutral,YES,F,MAISY
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,no_named_character,,,,,2.99933649,neutral,NO,AND,NA
L131,ARTHUR'S NOSE,MARC BROWN,Arthur,m,m,,,3.00017098,neutral,YES,M,ARTHUR
M37,THE STORY OF FERDINAND,MUNRO LEAF,Ferdinand,m,m,,,3.00220545,neutral,YES,M,FERDINAND
L215,WE'RE GOING ON A BEAR HUNT,MICHAEL ROSEN,no_named_character,,,,,3.00444446,neutral,NO,AND,NA
M8,LOVE YOU FOREVER,ROBERT MUNSCH,mother,m,f,,,3.00656987,neutral,YES,F,MOTHER
M8,LOVE YOU FOREVER,ROBERT MUNSCH,baby,m,m,,,3.00656987,neutral,YES,F,MOTHER
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,boy,m,m,,,3.00896395,neutral,YES,M,BOY
